id;reward;name;country;budget;fees;kinopoisk_rating;imdb_rating
2058;Лучшие 500 фильмов;Чаплин;США, Франция, Япония, Италия;2077000000;636048353;7.967;7.6
77859;Лучшие 500 фильмов;Отель «Руанда»;Великобритания, ЮАР, Италия;1172500000;2249330566;7.848;8.1
494;Лучшие 500 фильмов;Другие;США, Испания, Франция, Италия;1139000000;14066451479;7.945;7.6
4525;Лучшие 500 фильмов;Мотылек;Франция, США;804000000;3568889000;8.028;8.0
325439;Лучшие 500 фильмов;Чтец;США, Германия;2144000000;7296431789;7.934;7.6
362;Лучшие 500 фильмов;Подводная лодка;Германия (ФРГ);938000000;769674292;8.048;8.4
392540;Лучшие 500 фильмов;Освобождение: Битва за Берлин;СССР;0;0;8.182;7.7
425;Лучшие 500 фильмов;Седьмая печать;Швеция;10050000;0;8.077;8.2
43044;Лучшие 500 фильмов;Подкидыш;СССР;0;0;8.084;7.7
25082;Лучшие 500 фильмов;Однажды двадцать лет спустя;СССР;0;0;8.011;7.4
5622;Лучшие 500 фильмов;Сонная Лощина;Германия, США;6700000000;13806790634;7.954;7.4
6144;Лучшие 500 фильмов;Реальная любовь;Великобритания, США, Франция;2680000000;16545115139;7.914;7.6
2513;Лучшие 500 фильмов;Анастасия;США;3551000000;9366891316;8.083;7.1
80221;Лучшие 500 фильмов;38-я параллель;Корея Южная;857600000;4678448061;7.927;8.1
6039;Лучшие 500 фильмов;Маска;США;1541000000;23556088269;7.975;6.9
8827;Лучшие 500 фильмов;Легенды осени;США;2010000000;10762805161;7.99;7.5
42172;Лучшие 500 фильмов;Тайна третьей планеты;СССР;0;0;8.011;8.1
102201;Лучшие 500 фильмов;Разрисованная вуаль;Китай, США, Канада;2278000000;1777030146;7.917;7.5
77267;Лучшие 500 фильмов;Шерлок Холмс и доктор Ватсон: Двадцатый век начинается ;СССР;0;0;8.187;8.1
378246;Лучшие 500 фильмов;Мэри и Макс;Австралия;0;0;7.864;8.1
44691;Лучшие 500 фильмов;Калина красная;СССР;0;0;8.07;7.9
386;Лучшие 500 фильмов;Чужой;Великобритания, США;737000000;7030430667;8.066;8.5
17721;Лучшие 500 фильмов;Завтрак у Тиффани;США;167500000;536000000;8.108;7.7
46421;Лучшие 500 фильмов;Невероятные приключения итальянцев в России;СССР, Италия;0;0;8.053;7.8
388;Лучшие 500 фильмов;Расёмон;Япония;16750000;0;8.026;8.3
417;Лучшие 500 фильмов;Метрополис;Германия;0;35370506;8.039;8.3
79506;Лучшие 500 фильмов;Персона;Швеция;0;0;8.095;8.1
9208;Лучшие 500 фильмов;Отпетые мошенники;США;0;2816618695;7.988;7.3
42308;Лучшие 500 фильмов;Три тополя на Плющихе;СССР;0;0;8.106;7.9
46080;Лучшие 500 фильмов;Белые росы;СССР;0;0;8.204;7.6
4384;Лучшие 500 фильмов;Великан;США;0;177700482;7.941;7.3
2113;Лучшие 500 фильмов;Огни рампы;США;0;0;8.065;8.1
280961;Лучшие 500 фильмов;5 сантиметров в секунду;Япония;335000000;0;7.933;7.7
197134;Лучшие 500 фильмов;Жизнь в розовом цвете;Франция, Великобритания, Чехия;1675000000;5780411131;7.905;7.6
46660;Лучшие 500 фильмов;Мне двадцать лет;СССР;0;0;8.103;7.9
6889;Лучшие 500 фильмов;Гнев;США, Великобритания;4690000000;8729678838;7.911;7.7
46638;Лучшие 500 фильмов;Мимино;СССР;0;0;8.06;8.3
43870;Лучшие 500 фильмов;Служили два товарища;СССР;0;0;8.168;8.0
44128;Лучшие 500 фильмов;Деловые люди;СССР;0;0;8.161;7.7
510;Лучшие 500 фильмов;Четыреста ударов;Франция;0;0;8.088;8.1
531;Лучшие 500 фильмов;Дорога;Италия;0;0;8.044;8.1
44159;Лучшие 500 фильмов;Дети Дон-Кихота;СССР;0;0;8.192;7.3
21844;Лучшие 500 фильмов;Клуб «Завтрак»;США;67000000;3452186457;8.031;7.9
147969;Лучшие 500 фильмов;Безумно влюбленный;Италия;0;0;8.12;7.0
799;Лучшие 500 фильмов;Вспоминая Титанов;США;2010000000;9159347761;7.958;7.8
406408;Лучшие 500 фильмов;Законопослушный гражданин;США;3350000000;8484562152;8.01;7.4
32371;Лучшие 500 фильмов;Ва-банк;Польша;0;0;8.013;8.0
81542;Лучшие 500 фильмов;Невидимые дети;Франция, Италия;0;0;7.856;7.6
7698;Лучшие 500 фильмов;Андеграунд;Югославия (ФР), Германия, Франция, Чехия, Венгрия, Болгария;938000000;0;7.925;8.1
924;Лучшие 500 фильмов;Осенняя соната;Швеция, Франция, Германия (ФРГ), Великобритания;0;0;7.986;8.3
683999;Лучшие 500 фильмов;Отель «Гранд Будапешт»;США, Германия;1748000000;11573266306;7.865;8.1
889;Лучшие 500 фильмов;Герой;Китай, Гонконг;2077000000;11885426944;7.904;7.9
839;Лучшие 500 фильмов;Спирит: Душа прерий;США;5360000000;8211757113;8.086;7.1
681849;Лучшие 500 фильмов;Лучшее предложение;Италия;1026000000;68571351;7.959;7.8
32714;Лучшие 500 фильмов;Шёпот сердца;Япония;0;0;8.3;8.0
44835;Лучшие 500 фильмов;Ко мне, Мухтар!;СССР;0;0;8.079;7.7
6006;Лучшие 500 фильмов;Мадагаскар;США;5025000000;35689604957;7.891;6.9
7640;Лучшие 500 фильмов;Двухсотлетний человек;США, Германия;6700000000;5857398687;7.982;6.9
8222;Лучшие 500 фильмов;Кошмар перед Рождеством;США;1206000000;5030538756;8.046;8.0
104921;Лучшие 500 фильмов;Спасатель;США;4690000000;6363227180;7.963;6.9
46788;Лучшие 500 фильмов;Двенадцать месяцев;СССР;0;0;8.027;7.6
7727;Лучшие 500 фильмов;Плата за страх;Франция, Италия;0;0;8.06;8.1
255611;Лучшие 500 фильмов;Искупление;Великобритания, Франция, США;1700000000;8660826087;7.982;7.8
8154;Лучшие 500 фильмов;Бэмби;США;0;17918959050;8.079;7.3
63782;Лучшие 500 фильмов;Время цыган;Югославия, Великобритания, Италия;0;18761005;7.953;8.3
2333;Лучшие 500 фильмов;Скала;США;5025000000;22449195607;7.944;7.4
416824;Лучшие 500 фильмов;Рок-волна;Великобритания, Германия, Франция;3350000000;2435368528;7.881;7.4
43700;Лучшие 500 фильмов;Сережа;СССР;0;0;8.14;7.9
4917;Лучшие 500 фильмов;Святые из Бундока;США, Канада;402000000;2041557;7.949;7.9
4500;Лучшие 500 фильмов;Крестный отец 3;США;3618000000;9163326154;7.955;7.6
372;Лучшие 500 фильмов;Всё о Еве;США;93800000;4252021;8.017;8.3
364;Лучшие 500 фильмов;Двойная страховка;США;62126554;0;7.991;8.3
339;Лучшие 500 фильмов;Индиана Джонс: В поисках утраченного ковчега;США;1206000000;26125040057;8.001;8.5
4378;Лучшие 500 фильмов;Мэверик;США;5025000000;12263095224;8.102;7.0
646;Лучшие 500 фильмов;Танцующая в темноте;Дания, Швеция, США, Аргентина, Великобритания, Германия, Исландия, Испания, Италия, Нидерланды, Норвегия, Финляндия, Франция;857600000;2682135893;7.943;8.0
594;Лучшие 500 фильмов;Искусственный разум;США;6700000000;15807078984;7.918;7.1
77132;Лучшие 500 фильмов;Мемуары гейши;США;5695000000;10870278454;7.964;7.4
8421;Лучшие 500 фильмов;Эдвард руки-ножницы;США;1340000000;5763608335;7.998;7.9
436263;Лучшие 500 фильмов;Брестская крепость;Россия, Беларусь;0;295116843;7.957;7.5
47040;Лучшие 500 фильмов;Возвращение;Россия;26800000;271204610;7.853;8.0
7666;Лучшие 500 фильмов;Моя прекрасная леди;США;1139000000;4824000000;8.072;7.9
939785;Лучшие 500 фильмов;Остров собак;Германия, США;0;4304180433;8.133;7.9
392539;Лучшие 500 фильмов;Освобождение: Прорыв;СССР;0;0;8.177;7.6
512883;Лучшие 500 фильмов;Как приручить дракона 2;США;9715000000;41643013773;7.924;7.8
46066;Лучшие 500 фильмов;Белое солнце пустыни;СССР;0;0;8.029;8.0
257337;Лучшие 500 фильмов;Остров;Россия;100500000;0;7.888;8.0
8151;Лучшие 500 фильмов;Интервью с вампиром;США;4020000000;14985528736;7.963;7.6
17579;Лучшие 500 фильмов;Робин Гуд;США;1005000000;2147783289;8.075;7.6
428;Лучшие 500 фильмов;Охотник на оленей;США, Великобритания;1005000000;3281614976;7.961;8.1
61815;Лучшие 500 фильмов;Большая прогулка;Франция, Великобритания;0;0;8.101;8.0
94296;Лучшие 500 фильмов;Освобождение: Огненная дуга;СССР, Польша, Югославия, Германия (ГДР), Италия;0;0;8.176;7.2
515;Лучшие 500 фильмов;На игле;Великобритания;234500000;1104902360;7.941;8.2
781;Лучшие 500 фильмов;Патриот;США, Германия;7370000000;14424720914;7.916;7.2
3915;Лучшие 500 фильмов;Беглец;США;2948000000;24714675920;7.891;7.8
470769;Лучшие 500 фильмов;Цветок пустыни;Великобритания, Германия, Австрия, Франция;0;980302259;7.955;7.4
44270;Лучшие 500 фильмов;Дом, в котором я живу;СССР;0;0;8.054;7.7
15061;Лучшие 500 фильмов;Смертельное оружие;США;1005000000;8053877509;7.971;7.6
77423;Лучшие 500 фильмов;Игра по чужим правилам;США;0;2876876083;7.874;7.2
426;Лучшие 500 фильмов;Ребекка;США;86296000;402000000;7.968;8.1
13540;Лучшие 500 фильмов;Рокко и его братья;Италия, Франция;0;0;8.051;8.3
23737;Лучшие 500 фильмов;Одержимость;США;2010000000;1393901768;7.859;7.0
373;Лучшие 500 фильмов;М убийца;Германия;0;0;7.949;8.3
16759;Лучшие 500 фильмов;Мост Ватерлоо;США;0;0;8.048;7.8
1996;Лучшие 500 фильмов;Грязные танцы;США;402000000;14334936358;8.057;6.9
676;Лучшие 500 фильмов;Фрида;США, Канада, Мексика;804000000;3771997758;7.911;7.4
482;Лучшие 500 фильмов;История игрушек;США;2010000000;24251235312;7.887;8.3
566055;Лучшие 500 фильмов;Отверженные;Великобритания, США;4087000000;29517901230;7.901;7.6
1107;Лучшие 500 фильмов;Джон Ф. Кеннеди: Выстрелы в Далласе;Франция, США;2680000000;13762168366;7.872;8.0
14349;Лучшие 500 фильмов;Такси;Франция;0;17973018;7.891;7.0
42398;Лучшие 500 фильмов;Я шагаю по Москве;СССР;0;0;7.995;8.0
46285;Лучшие 500 фильмов;На войне как на войне;СССР;0;0;8.233;8.0
47397;Лучшие 500 фильмов;Девушка на мосту;Франция;0;114492213;7.868;7.6
46318;Лучшие 500 фильмов;Освобождение: Направление главного удара;СССР, Польша, Германия (ГДР);0;0;8.111;7.7
335;Лучшие 500 фильмов;Помни;США;603000000;2661447432;7.867;8.5
42799;Лучшие 500 фильмов;Осенний марафон;СССР;0;0;8.001;8.0
